iter	Passed	Remaining
0	2	2828
1	5	2781
2	8	2696
3	9	2479
4	11	2308
5	13	2263
6	15	2247
7	18	2235
8	20	2240
9	22	2194
10	23	2155
11	26	2163
12	28	2138
13	30	2113
14	32	2134
15	35	2164
16	37	2154
17	39	2163
18	41	2133
19	42	2106
20	45	2119
21	47	2100
22	48	2077
23	51	2076
24	53	2079
25	55	2093
26	58	2098
27	59	2082
28	61	2072
29	64	2079
30	65	2060
31	67	2042
32	69	2029
33	71	2029
34	73	2037
35	75	2033
36	78	2030
37	79	2018
38	81	2012
39	83	2005
40	85	1993
41	87	1988
42	89	1993
43	91	1995
44	94	2005
45	96	1994
46	97	1982
47	99	1972
48	102	1979
49	103	1973
50	105	1963
51	107	1963
52	109	1956
53	111	1957
54	114	1960
55	115	1953
56	117	1945
57	119	1940
58	121	1936
59	123	1927
60	124	1919
61	126	1918
62	129	1921
63	131	1923
64	133	1926
65	135	1922
66	137	1916
67	140	1919
68	141	1913
69	143	1905
70	145	1905
71	147	1900
72	150	1907
73	152	1903
74	153	1896
75	155	1889
76	157	1890
77	159	1885
78	161	1878
79	162	1873
80	165	1875
81	167	1877
82	170	1879
83	171	1873
84	173	1866
85	175	1865
86	177	1866
87	179	1861
88	181	1857
89	183	1857
90	185	1852
91	188	1857
92	190	1853
93	191	1847
94	193	1841
95	195	1843
96	197	1842
97	200	1845
98	202	1839
99	203	1834
100	206	1836
101	208	1833
102	209	1828
103	211	1823
104	214	1824
105	216	1823
106	218	1820
107	220	1819
108	222	1815
109	223	1812
110	226	1811
111	227	1805
112	229	1802
113	231	1801
114	234	1802
115	236	1801
116	238	1803
117	240	1799
118	242	1796
119	245	1800
120	247	1796
121	248	1791
122	251	1789
123	253	1788
124	254	1784
125	257	1786
126	259	1782
127	261	1779
128	263	1779
129	265	1775
130	267	1771
131	269	1772
132	271	1772
133	273	1769
134	276	1769
135	278	1767
136	279	1763
137	282	1765
138	284	1760
139	285	1756
140	288	1755
141	290	1755
142	292	1754
143	294	1753
