iter	Passed	Remaining
0	4	421
1	9	476
2	14	468
3	18	437
4	22	433
5	26	413
6	30	399
7	34	399
8	38	390
9	42	385
10	46	379
11	50	369
12	54	361
13	57	354
14	62	353
15	67	352
16	71	351
17	76	350
18	81	347
19	86	346
20	90	341
21	94	336
22	99	334
23	104	331
24	109	329
25	114	326
26	119	323
27	123	318
28	128	314
29	132	309
30	136	304
31	140	298
32	143	292
33	147	285
34	150	279
35	154	274
36	157	268
37	160	262
38	164	257
39	167	251
40	170	246
41	174	240
42	177	235
43	181	230
44	184	225
45	187	220
46	190	215
47	194	210
48	197	205
49	200	200
50	203	195
51	206	191
52	210	186
53	213	181
54	216	176
55	219	172
56	222	168
57	225	163
58	228	159
59	232	154
60	235	150
61	238	146
62	241	141
63	244	137
64	247	133
65	251	129
66	254	125
67	257	121
68	260	117
69	263	113
70	267	109
71	269	104
72	273	101
73	276	97
74	279	93
75	281	89
76	285	85
77	287	81
78	290	77
79	293	73
80	296	69
81	299	65
82	302	61
83	304	58
84	308	54
85	311	50
86	314	47
87	317	43
88	321	39
89	324	36
90	328	32
91	331	28
92	334	25
93	336	21
94	340	17
95	343	14
96	346	10
97	349	7
98	352	3
99	355	0
